raw_name,clean_name,standardised_name
"Terrier, Boston",Boston Terrier,Boston Terrier
"Terrier, Border",Border Terrier,Border Terrier
Shar Pei,Shar Pei,Shar Pei
"Poodle, Standard",Standard Poodle,Standard Poodle
White Swiss Shepherd Dog,White Swiss Shepherd Dog,White Swiss Shepherd Dog
"Retriever, Labrador",Labrador Retriever,Labrador Retriever
"Spaniel, Cavalier King Charles",Cavalier King Charles Spaniel,Cavalier King Charles Spaniel
"Collie, Border",Border Collie,Border Collie
"Shepherd, German",German Shepherd,German Shepherd
Australian Kelpie,Australian Kelpie,Australian Kelpie
"Terrier, Fox (Smooth)",Fox (Smooth) Terrier,Fox (Smooth) Terrier
Pomeranian,Pomeranian,Pomeranian
Siberian Husky,Siberian Husky,Siberian Husky
Rottweiler,Rottweiler,Rottweiler
"Collie, Bearded",Bearded Collie,Bearded Collie
"Terrier, American Pit Bull",American Pit Bull Terrier,American Pit Bull Terrier
"Dachshund, Miniature Long Haired",Miniature Long Haired Dachshund,Miniature Long Haired Dachshund
Maltese,Maltese,Maltese
Lhasa Apso,Lhasa Apso,Lhasa Apso
"Poodle, Toy",Toy Poodle,Toy Poodle
"Mastiff, Bull",Bull Mastiff,Bull Mastiff
"Terrier, Jack Russell",Jack Russell Terrier,Jack Russell Terrier
Shih Tzu,Shih Tzu,Shih Tzu
Whippet,Whippet,Whippet
"Shepherd, Belgian (Malinois)",Belgian (Malinois) Shepherd,Belgian (Malinois) Shepherd
"Chihuahua, Long Coat",Long Coat Chihuahua,Long Coat Chihuahua
Pug,Pug,Pug
Greyhound,Greyhound,Greyhound
Boxer,Boxer,Boxer
"Schnauzer, Miniature",Miniature Schnauzer,Miniature Schnauzer
"Terrier, Staffordshire Bull",Staffordshire Bull Terrier,Staffordshire Bull Terrier
"Cattle, Australian",Australian Cattle,Australian Cattle
"Bulldog, American",American Bulldog,American Bulldog
Huntaway,Huntaway,Huntaway
"Terrier, Yorkshire",Yorkshire Terrier,Yorkshire Terrier
Smithfield,Smithfield,Smithfield
Mastiff,Mastiff,Mastiff
Bichon Frise,Bichon Frise,Bichon Frise
"Terrier, American Staffordshire",American Staffordshire Terrier,American Staffordshire Terrier
"Bulldog, French",French Bulldog,French Bulldog
Rhodesian Ridgeback,Rhodesian Ridgeback,Rhodesian Ridgeback
"Chihuahua, Smooth Coat",Smooth Coat Chihuahua,Smooth Coat Chihuahua
Bulldog,Bulldog,Bulldog
Dobermann,Dobermann,Dobermann
"Poodle, Miniature",Miniature Poodle,Miniature Poodle
"Terrier, Bull",Bull Terrier,Bull Terrier
Great Dane,Great Dane,Great Dane
Dalmatian,Dalmatian,Dalmatian
Weimaraner,Weimaraner,Weimaraner
"Terrier, Fox (Wire)",Fox (Wire) Terrier,Fox (Wire) Terrier
"Setter, Gordon",Gordon Setter,Gordon Setter
"Spitz, German (Klein)",German (Klein) Spitz,German (Klein) Spitz
Chow Chow,Chow Chow,Chow Chow
"Terrier, English Toy (Black & Tan)",English Toy (Black & Tan) Terrier,English Toy (Black & Tan) Terrier
Papillon,Papillon,Papillon
"Retriever, Golden",Golden Retriever,Golden Retriever
Dogue de Bordeaux,Dogue de Bordeaux,Dogue de Bordeaux
"Vizsla, Hungarian",Hungarian Vizsla,Hungarian Vizsla
"Spitz, Finnish",Finnish Spitz,Finnish Spitz
"Spaniel, Field",Field Spaniel,Field Spaniel
Swedish Vallhund,Swedish Vallhund,Swedish Vallhund
"Spaniel, English Springer",English Springer Spaniel,English Springer Spaniel
Schnauzer,Schnauzer,Schnauzer
"Dachshund, Miniature Smooth Haired",Miniature Smooth Haired Dachshund,Miniature Smooth Haired Dachshund
Catahoula Leopard,Catahoula Leopard,Catahoula Leopard
"Mastiff, Neapolitan",Neapolitan Mastiff,Neapolitan Mastiff
"Corgi, Welsh Pembroke",Welsh Pembroke Corgi,Welsh Pembroke Corgi
Beagle,Beagle,Beagle
"Hound, Basset",Basset Hound,Basset Hound
"Spitz, Japanese",Japanese Spitz,Japanese Spitz
Japanese Chin,Japanese Chin,Japanese Chin
"Pointer, German Wire Haired",German Wire Haired Pointer,German Wire Haired Pointer
"Spaniel, Cocker",Cocker Spaniel,Cocker Spaniel
"Terrier, Irish",Irish Terrier,Irish Terrier
"Spaniel, Welsh Springer",Welsh Springer Spaniel,Welsh Springer Spaniel
"Wolfhound, Irish",Irish Wolfhound,Irish Wolfhound
Heading,Heading,Heading
"Terrier, Scottish",Scottish Terrier,Scottish Terrier
Basset Fauve de Bretange,Basset Fauve de Bretange,Basset Fauve de Bretange
"Terrier, Cairn",Cairn Terrier,Cairn Terrier
"Terrier, Airedale",Airedale Terrier,Airedale Terrier
Brittany,Brittany,Brittany
Shiba Inu,Shiba Inu,Shiba Inu
"Terrier, Tibetan",Tibetan Terrier,Tibetan Terrier
"Retriever, Flat-Coated",Flat-Coated Retriever,Flat-Coated Retriever
Portuguese Water,Portuguese Water,Portuguese Water
"Pointer, German Short Haired",German Short Haired Pointer,German Short Haired Pointer
"Terrier, Australian Silky",Australian Silky Terrier,Australian Silky Terrier
"Terrier, West Highland White",West Highland White Terrier,West Highland White Terrier
"Griffon, Bruxellois",Bruxellois Griffon,Bruxellois Griffon
"Terrier, Bull Miniature",Bull Miniature Terrier,Bull Miniature Terrier
Dogo Argentino,Dogo Argentino,Dogo Argentino
"Terrier, Parson Jack Russell",Parson Jack Russell Terrier,Parson Jack Russell Terrier
Samoyed,Samoyed,Samoyed
Alaskan Malamute,Alaskan Malamute,Alaskan Malamute
"Sheepdog, Maremma",Maremma Sheepdog,Maremma Sheepdog
"Dachshund, Standard Smooth Haired",Standard Smooth Haired Dachshund,Standard Smooth Haired Dachshund
Italian Corso Dog,Italian Corso Dog,Italian Corso Dog
Thai Ridgeback,Thai Ridgeback,Thai Ridgeback
"Collie, Rough",Rough Collie,Rough Collie
"Pointer, English",English Pointer,English Pointer
"Spitz, German (Mittel)",German (Mittel) Spitz,German (Mittel) Spitz
"Spaniel, American Cocker",American Cocker Spaniel,American Cocker Spaniel
Basenji,Basenji,Basenji
"Sheepdog, Old English",Old English Sheepdog,Old English Sheepdog
Akita,Akita,Akita
"Pinscher, Miniature",Miniature Pinscher,Miniature Pinscher
"Collie, Smooth",Smooth Collie,Smooth Collie
"Shepherd, Belgian (Groenendael)",Belgian (Groenendael) Shepherd,Belgian (Groenendael) Shepherd
Pekingese,Pekingese,Pekingese
"Dachshund, Standard Long Haired",Standard Long Haired Dachshund,Standard Long Haired Dachshund
"Sheepdog, Shetland",Shetland Sheepdog,Shetland Sheepdog
"Spaniel, Tibetan",Tibetan Spaniel,Tibetan Spaniel
Lowchen,Lowchen,Lowchen
"Terrier, Norfolk",Norfolk Terrier,Norfolk Terrier
Saint Bernard,Saint Bernard,Saint Bernard
Briard,Briard,Briard
Borzoi,Borzoi,Borzoi
Cross,Cross,Cross
"Pinscher, German",German Pinscher,German Pinscher
Australian Koolie,Australian Koolie,Australian Koolie
Havanese,Havanese,Havanese
"Cattle, Stumpy-Tail",Stumpy-Tail Cattle,Stumpy-Tail Cattle
"Spaniel, King Charles",King Charles Spaniel,King Charles Spaniel
Lurcher,Lurcher,Lurcher
Affenpinscher,Affenpinscher,Affenpinscher
"Corgi, Welsh Cardigan",Welsh Cardigan Corgi,Welsh Cardigan Corgi
Keeshond,Keeshond,Keeshond
"Terrier, Welsh",Welsh Terrier,Welsh Terrier
"Griffon, Beauceron",Beauceron Griffon,Beauceron Griffon
"Setter, Irish",Irish Setter,Irish Setter
"Mastiff, Tibetan",Tibetan Mastiff,Tibetan Mastiff
Chinese Crested,Chinese Crested,Chinese Crested
"Greyhound, Italian",Italian Greyhound,Italian Greyhound
"Shepherd, Australian",Australian Shepherd,Australian Shepherd
"Setter, English",English Setter,English Setter
"Puli, Hungarian",Hungarian Puli,Hungarian Puli
"Dachshund, Standard Wire Haired",Standard Wire Haired Dachshund,Standard Wire Haired Dachshund
"Terrier, Bedlington",Bedlington Terrier,Bedlington Terrier
"Terrier, Australian",Australian Terrier,Australian Terrier
"Griffon, Petit Basset",Petit Basset Griffon,Petit Basset Griffon
"Schnauzer, Giant",Giant Schnauzer,Giant Schnauzer
"Shepherd, Belgian (Tervueren)",Belgian (Tervueren) Shepherd,Belgian (Tervueren) Shepherd
"Shepherd, Dutch",Dutch Shepherd,Dutch Shepherd
Bernese Mountain,Bernese Mountain,Bernese Mountain
Leonberger,Leonberger,Leonberger
"Retriever, Curly-Coated",Curly-Coated Retriever,Curly-Coated Retriever
Schipperke,Schipperke,Schipperke
"Mastiff, Pyrenean",Pyrenean Mastiff,Pyrenean Mastiff
"Shepherd, Anatolian",Anatolian Shepherd,Anatolian Shepherd
Newfoundland,Newfoundland,Newfoundland
"Retriever, Chesapeake Bay",Chesapeake Bay Retriever,Chesapeake Bay Retriever
Bloodhound,Bloodhound,Bloodhound
"Coonhound, Plott",Plott Coonhound,Plott Coonhound
"Coonhound, Black and Tan",Black and Tan Coonhound,Black and Tan Coonhound
"Terrier, Soft Coated Wheaten",Soft Coated Wheaten Terrier,Soft Coated Wheaten Terrier
Dingo,Dingo,Dingo
"Terrier, Lakeland",Lakeland Terrier,Lakeland Terrier
Lagotto,Lagotto,Lagotto
"Hound, Pharaoh",Pharaoh Hound,Pharaoh Hound
Korea Jindo,Korea Jindo,Korea Jindo
Grand Basset Griffon Vendeen,Grand Basset Griffon Vendeen,Grand Basset Griffon Vendeen
"Mastiff, Spanish",Spanish Mastiff,Spanish Mastiff
Canaan,Canaan,Canaan
"Retriever, Nova Scotia Duck Tolling",Nova Scotia Duck Tolling Retriever,Nova Scotia Duck Tolling Retriever
"Dachshund, Miniature Wire Haired",Miniature Wire Haired Dachshund,Miniature Wire Haired Dachshund
"Elkhound, Norwegian",Norwegian Elkhound,Norwegian Elkhound
"Spaniel, Sussex",Sussex Spaniel,Sussex Spaniel
Portugese Podengo,Portugese Podengo,Portugese Podengo
Pyrenean Mountain,Pyrenean Mountain,Pyrenean Mountain
"Terrier, Black Russian",Black Russian Terrier,Black Russian Terrier
"Terrier, Norwich",Norwich Terrier,Norwich Terrier
Saluki,Saluki,Saluki
Foxhound,Foxhound,Foxhound
"Lapphund, Finnish",Finnish Lapphund,Finnish Lapphund
"Terrier, Manchester",Manchester Terrier,Manchester Terrier
Munsterlander,Munsterlander,Munsterlander
Russian Toy,Russian Toy,Russian Toy
"Spaniel, American Water",American Water Spaniel,American Water Spaniel
Bracco Italiano,Bracco Italiano,Bracco Italiano
Kangal,Kangal,Kangal
"Lapphund, Swedish",Swedish Lapphund,Swedish Lapphund
"Shepherd, Pyrenean",Pyrenean Shepherd,Pyrenean Shepherd
NA,NA,NA
"Setter, Irish Red & White",Irish Red & White Setter,Irish Red & White Setter
Deerhound,Deerhound,Deerhound
Bolognese,Bolognese,Bolognese
"Hound, Ibizan",Ibizan Hound,Ibizan Hound
"Terrier, Kerry Blue",Kerry Blue Terrier,Kerry Blue Terrier
Spanish Water,Spanish Water,Spanish Water
"Coonhound, Redbone",Redbone Coonhound,Redbone Coonhound
Beauceron,Beauceron,Beauceron
Bouvier des Flandres,Bouvier des Flandres,Bouvier des Flandres
Xoloitzquintle,Xoloitzquintle,Xoloitzquintle
Cesky Fousek,Cesky Fousek,Cesky Fousek
Komondor,Komondor,Komondor
"Coonhound, Tree Walker",Tree Walker Coonhound,Tree Walker Coonhound
"Spaniel, Clumber",Clumber Spaniel,Clumber Spaniel
"Shepherd, Belgian (Laekenois)",Belgian (Laekenois) Shepherd,Belgian (Laekenois) Shepherd
"Terrier, Sealyham",Sealyham Terrier,Sealyham Terrier
Great Swiss Mountain Dog,Great Swiss Mountain Dog,Great Swiss Mountain Dog
"Terrier, Skye",Skye Terrier,Skye Terrier
"Hound, American Fox",American Fox Hound,American Fox Hound
"Terrier, Cesky",Cesky Terrier,Cesky Terrier
"Terrier, Tenterfield",Tenterfield Terrier,Tenterfield Terrier
"Spinone, Italian",Italian Spinone,Italian Spinone
"Hound, Afghan",Afghan Hound,Afghan Hound
"Hound, Otter",Otter Hound,Otter Hound
"Coonhound, Bluetick",Bluetick Coonhound,Bluetick Coonhound
