raw_name,clean_name,standardised_name
Affenpinscher,Affenpinscher,Affenpinscher
"Hound, Afghan",Afghan Hound,Afghan Hound
"Terrier, Airedale",Airedale Terrier,Airedale Terrier
Airedale Terrier,Airedale Terrier,Airedale Terrier
Akita,Akita,Akita
Alaskan Malamute,Alaskan Malamute,Alaskan Malamute
"Bulldog, American",American Bulldog,American Bulldog
American Bulldog,American Bulldog,American Bulldog
American Bully,American Bully,American Bully
"Spaniel, American Cocker",American Cocker Spaniel,American Cocker Spaniel
"Hound, American Fox",American Fox Hound,American Fox Hound
"Terrier, American Pit Bull",American Pit Bull Terrier,American Pit Bull Terrier
"Terrier, American Staffordshire",American Staffordshire Terrier,American Staffordshire Terrier
American Staffordshire Terrier,American Staffordshire Terrier,American Staffordshire Terrier
"Spaniel, American Water",American Water Spaniel,American Water Spaniel
"Shepherd, Anatolian",Anatolian Shepherd,Anatolian Shepherd
Anatolian Shepherd,Anatolian Shepherd,Anatolian Shepherd
"Cattle, Australian",Australian Cattle,Australian Cattle
Australian Cattle,Australian Cattle,Australian Cattle
Australian Kelpie,Australian Kelpie,Australian Kelpie
Australian Koolie,Australian Koolie,Australian Koolie
"Shepherd, Australian",Australian Shepherd,Australian Shepherd
Australian Shepherd,Australian Shepherd,Australian Shepherd
"Terrier, Australian Silky",Australian Silky Terrier,Australian Silky Terrier
Australian Silky Terrier,Australian Silky Terrier,Australian Silky Terrier
"Terrier, Australian",Australian Terrier,Australian Terrier
Basenji,Basenji,Basenji
Basset Fauve de Bretange,Basset Fauve de Bretange,Basset Fauve de Bretange
"Hound, Basset",Basset Hound,Basset Hound
Basset Hound,Basset Hound,Basset Hound
Beagle,Beagle,Beagle
"Collie, Bearded",Bearded Collie,Bearded Collie
Bearded Collie,Bearded Collie,Bearded Collie
Beauceron,Beauceron,Beauceron
"Griffon, Beauceron",Beauceron Griffon,Beauceron Griffon
Beauceron Griffon,Beauceron Griffon,Beauceron Griffon
"Terrier, Bedlington",Bedlington Terrier,Bedlington Terrier
"Shepherd, Belgian (Groenendael)",Belgian (Groenendael) Shepherd,Belgian Shepherd (Groenendael)
"Shepherd, Belgian (Laekenois)",Belgian (Laekenois) Shepherd,Belgian Shepherd (Laekenois)
"Shepherd, Belgian (Malinois)",Belgian (Malinois) Shepherd,Belgian Shepherd (Malinois)
"Shepherd, Belgian (Tervueren)",Belgian (Tervueren) Shepherd,Belgian Shepherd (Tervuren)
Belgian Shepherd (Malinois),Belgian Shepherd (Malinois),Belgian Shepherd (Malinois)
Belgian Shepherd (Tervuren),Belgian Shepherd (Tervuren),Belgian Shepherd (Tervuren)
Bergamasco Shepherd,Bergamasco Shepherd,Bergamasco Shepherd
Bernese Mountain,Bernese Mountain,Bernese Mountain
Bichon Frise,Bichon Frise,Bichon Frise
"Coonhound, Black and Tan",Black and Tan Coonhound,Black and Tan Coonhound
"Terrier, Black Russian",Black Russian Terrier,Black Russian Terrier
Black Russian Terrier,Black Russian Terrier,Black Russian Terrier
Bloodhound,Bloodhound,Bloodhound
"Coonhound, Bluetick",Bluetick Coonhound,Bluetick Coonhound
Bolognese,Bolognese,Bolognese
"Collie, Border",Border Collie,Border Collie
Border Collie,Border Collie,Border Collie
"Terrier, Border",Border Terrier,Border Terrier
Border Terrier,Border Terrier,Border Terrier
Borzoi,Borzoi,Borzoi
"Terrier, Boston",Boston Terrier,Boston Terrier
Boston Terrier,Boston Terrier,Boston Terrier
Bouvier des Flandres,Bouvier des Flandres,Bouvier des Flandres
Boxer,Boxer,Boxer
Bracco Italiano,Bracco Italiano,Bracco Italiano
Briard,Briard,Briard
Brittany,Brittany,Brittany
Brittish Bulldog,Brittish Bulldog,Brittish Bulldog
"Griffon, Bruxellois",Bruxellois Griffon,Bruxellois Griffon
Bruxellois Griffon,Bruxellois Griffon,Bruxellois Griffon
"Mastiff, Bull",Bull Mastiff,Bull Mastiff
Bull Mastiff,Bull Mastiff,Bull Mastiff
"Terrier, Bull Miniature",Bull Miniature Terrier,Bull Miniature Terrier
"Terrier, Bull",Bull Terrier,Bull Terrier
Bull Terrier,Bull Terrier,Bull Terrier
Bulldog,Bulldog,Bulldog
"Terrier, Cairn",Cairn Terrier,Cairn Terrier
Cairn Terrier,Cairn Terrier,Cairn Terrier
Canaan,Canaan,Canaan
Cane Corso,Cane Corso,Cane Corso
Catahoula Leopard,Catahoula Leopard,Catahoula Leopard
Cattle Dog,Cattle Dog,Cattle Dog
"Spaniel, Cavalier King Charles",Cavalier King Charles Spaniel,Cavalier King Charles Spaniel
Cavalier King Charles Spaniel,Cavalier King Charles Spaniel,Cavalier King Charles Spaniel
Cesky Fousek,Cesky Fousek,Cesky Fousek
"Terrier, Cesky",Cesky Terrier,Cesky Terrier
"Retriever, Chesapeake Bay",Chesapeake Bay Retriever,Chesapeake Bay Retriever
Chesapeake Bay Retriever,Chesapeake Bay Retriever,Chesapeake Bay Retriever
Chihuahua Long Coat,Chihuahua Long Coat,Chihuahua (Long Coat)
Chihuahua Smooth Coat,Chihuahua Smooth Coat,Chihuahua (Smooth Coat)
Chinese Crested,Chinese Crested,Chinese Crested
Chow Chow,Chow Chow,Chow Chow
"Bully, Classic/Standard",Classic/Standard Bully,Classic/Standard Bully
"Spaniel, Clumber",Clumber Spaniel,Clumber Spaniel
"Spaniel, Cocker",Cocker Spaniel,Cocker Spaniel
Cocker Spaniel,Cocker Spaniel,Cocker Spaniel
Coton De Tulear,Coton De Tulear,Coton De Tulear
Cross,Cross,Cross
"Retriever, Curly-Coated",Curly-Coated Retriever,Curly-Coated Retriever
Curly-Coated Retriever,Curly-Coated Retriever,Curly-Coated Retriever
Dalmatian,Dalmatian,Dalmatian
"Terrier, Dandie Dinmont",Dandie Dinmont Terrier,Dandie Dinmont Terrier
Deerhound,Deerhound,Deerhound
Dingo,Dingo,Dingo
Dobermann,Dobermann,Dobermann
Dogo Argentino,Dogo Argentino,Dogo Argentino
Dogue de Bordeaux,Dogue de Bordeaux,Dogue de Bordeaux
Dogue De Bordeaux,Dogue De Bordeaux,Dogue de Bordeaux
"Shepherd, Dutch",Dutch Shepherd,Dutch Shepherd
"Pointer, English",English Pointer,English Pointer
English Pointer,English Pointer,English Pointer
"Setter, English",English Setter,English Setter
"Spaniel, English Springer",English Springer Spaniel,English Springer Spaniel
English Springer Spaniel,English Springer Spaniel,English Springer Spaniel
"Terrier, English Toy (Black & Tan)",English Toy (Black & Tan) Terrier,English Toy (Black & Tan) Terrier
Eurasier,Eurasier,Eurasier
"Spaniel, Field",Field Spaniel,Field Spaniel
Field Spaniel,Field Spaniel,Field Spaniel
"Lapphund, Finnish",Finnish Lapphund,Finnish Lapphund
"Spitz, Finnish",Finnish Spitz,Finnish Spitz
