"docket_number","shelter","team","impound_date","impound_reason","exit_date","status","rfs_number","street_name","suburb","s_57_type","severity","primary_breed","secondary_breed","sex","desexed","approx_age","dog_name","dog_id","classified","current_classification","classification_required","new_classification","new_classification_issued","registered","new_reg_issued","microchipped","microchip_number","new_microchip_issued","known_dog","euthanasia_reason","days_in_shelter"
"26912494","MAS","South",2021-07-01,"Dead",2021-07-01,"Dead on Arrival","8100866792","Orchard Rise","Rosehill",NA,NA,"Border Collie",NA,"Male","No","Older Adult (10+)","Frank N. Stein","40090541872","No",NA,"No","No",NA,"Yes","No","Yes","982009106453180","No","Yes",NA,0
"27612499","MAS","Central",2021-07-01,"Pick-up",2021-07-01,"Released","8100866802","Kinseat Road","Kingseat",NA,NA,"Border Collie","Cross","Male","Yes","Adult (5-10 Years)","Rascal","40090871341","No",NA,"No","No",NA,"No","No","Yes","982000364655235","No","Yes",NA,1
"27112505","MAS","South",2021-07-01,"Pick-up",2021-07-02,"Released","8100866972","Harris Street","Pukekohe",NA,NA,"German Shepherd","Cross","Female","Yes","Adult (5-10 Years)","Roxy","40090695594","No",NA,"No","No",NA,"No","Yes","Yes","900032001909036","No","Yes",NA,2
"14012503","MAS","Central",2021-07-01,"Sec 52A",2021-07-02,"Released","8100866934","Fordyce Avenue","Sunnyhills",NA,NA,"Pit Bull Terrier","Cross","Female","No","Adult (1-4 Years)","Honey Girl","40000811051","No",NA,"No","Yes","Menacing - S.33C","No","Yes","Yes","953010004311061","No","Yes",NA,2
"29412522","SAS","North",2021-07-02,"Pick-up",2021-07-02,"Released","8100867512","Hudson Road","Warkworth",NA,NA,"Field Spaniel",NA,"Male","No","Adult (5-10 Years)","Nitro","40000767842","No",NA,"No","No",NA,"No","Yes","Yes","900108001583116","No","Yes",NA,1
"14012515","MAS","Central",2021-07-02,"Sec 52 (2b)",2021-07-02,"Released","Proactive","Henwood Place","Mangere East",NA,NA,"American Bulldog","Cross","Female","No","Adult (1-4 Years)","Kau",NA,"No",NA,"No","No",NA,"No","Yes","No","900141000117104","Yes","No",NA,1
"24112516","MAS","South",2021-07-02,"Sec 42",2021-07-02,"Released","8100862151","Tuna Place","Manurewa",NA,NA,"American Bulldog","Boxer","Male","No","Adult (1-4 Years)","Rome","40000566618","No",NA,"No","No",NA,"No","Yes","Yes","900141000038983","No","Yes",NA,1
"27112521","MAS","South",2021-07-02,"Pick-up",2021-07-02,"Released","8100867543","Burundi Avenue","Manurewa",NA,NA,"American Bulldog",NA,"Male","No","Adult (1-4 Years)","Cash Money",NA,"No",NA,"No","No",NA,"No","Yes","No","900141000117050","Yes","No",NA,1
"313831","SAS","North",2021-07-02,"Pick-up",2021-07-02,"Released","8100867329","Moenui Avenue","Orewa",NA,NA,"Staffordshire Bull Terrier","Labrador Retriever","Male","No","Adult (1-4 Years)","Nero",NA,"No",NA,"No","No",NA,"No","No","Yes","934000090237492","No","No",NA,1
"312971","HAS","West",2021-07-02,"Pick-up",2021-07-02,"Released","8100867499","Anich Road","Massey",NA,NA,"Neapolitan Mastiff",NA,"Female","Yes","Adult (1-4 Years)","Cookie","40000154034","No",NA,"No","No",NA,"No","Yes","No","981098106075078","No","Yes",NA,1
"12412511","HAS","West",2021-07-02,"Police assist",2021-07-02,"Released","8100867304","Tudor Place","Henderson",NA,NA,"Chihuahua Long Coat","Shih Tzu","Male","No","Adult (5-10 Years)","Tippy","40000208118","No",NA,"No","No",NA,"No","Yes","Yes","900008800826492","No","Yes",NA,1
"28512489","SAS","North",2021-07-01,"Sec 57",2021-07-03,"Euthanised","8100846995","Argyle Road","Browns Bay","Dog v Adult (16+)","3","Beagle","Cross","Male","Yes","Adult (5-10 Years)","Simba","40090202938","Yes","Menacing - S.33A","No","No",NA,"Yes","No","Yes","981098106072862","No","Yes","Menacing Dog - S.33A Deed",3
