year,p1_central,p1_north,p1_south,p1_west,p1_east,p1_other,p2_central,p2_north,p2_south,p2_west,p2_east,p2_other,agg_animals,agg_people,attack_animals,attack_people,barking,bylaw_breach,pickup_dog,roaming,unregistered_dog,welfare
2025,2664,2488,2769,2455,2770,,5758,4228,5272,4987,5983,,788,3064,1523,1341,6426,918,5223,16739,504,1264
2024,2949,2655,3218,2850,2931,,4658,4071,4861,4392,4973,,752,2921,1593,1253,6597,690,5344,15146,734,1111
2023,3563,2080,5321,2713,,,5042,3214,6658,4710,,,668,2357,1339,1098,6670,826,5357,12737,608,616
2022,3959,2450,4935,2830,,,2153,2158,2310,2068,,5372,445,1461,1059,848,5518,716,4112,8461,1253,48
2021,3464,2644,4218,2775,,,3311,2950,3915,3142,,5929,344,1231,829,756,6263,894,4394,7601,3034,154
2020,3304,2785,3949,2795,,,5667,4448,4950,4898,,,333,1214,785,685,5810,1319,4928,7340,4179,127
2019,3471,3031,4167,2995,,,5365,4985,5242,5752,,,369,1276,980,716,6811,1495,5507,8112,5357,228
2018,3410,3125,4184,2903,,,5442,5034,4803,4926,,,313,1147,890,745,7149,714,6070,8843,3145,281
2017,,,4397,,,10390,,,4897,,,18015,288,1053,1059,816,8307,795,6959,10578,2053,533
2016,,,4371,,,10464,,,6082,,,19443,355,1218,899,740,8780,784,8372,10962,832,628
2015,,,4035,,,7770,,,6856,,,18818,,,,,,,,,,
2014,7809,724,6561,1378,,,3061,7221,4262,5241,,,,,,,,,,,,
